,Area,BHK,Bathroom,Furnishing,Locality,Price
1,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
2,950.0,2,2.0,Furnished,Other,15500000
3,600.0,2,2.0,Semi-Furnished,Rohini Sector 24,4200000
4,650.0,2,2.0,Semi-Furnished,Other,6200000
5,1300.0,4,3.0,Semi-Furnished,Rohini Sector 24,15500000
6,1350.0,4,3.0,Semi-Furnished,Rohini Sector 24,10000000
7,650.0,2,2.0,Semi-Furnished,Other,4000000
8,985.0,3,3.0,Unfurnished,Other,6800000
9,1300.0,4,4.0,Semi-Furnished,Other,15000000
10,1100.0,3,2.0,Semi-Furnished,Other,6200000
11,870.0,3,2.0,Semi-Furnished,Other,7700000
12,630.0,2,2.0,Semi-Furnished,Rohini Sector 24,5500000
13,660.0,2,2.0,Semi-Furnished,Rohini Sector 24,5000000
14,344.4448,2,2.0,Semi-Furnished,Other,3310000
15,660.0,2,2.0,Semi-Furnished,Other,4700000
16,550.0,2,2.0,Semi-Furnished,Other,4500000
17,1100.0,4,3.0,Semi-Furnished,Other,17000000
18,1150.0,3,3.0,Semi-Furnished,Other,25000000
19,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,6000000
20,850.0,2,2.0,Semi-Furnished,Other,11000000
21,900.0,3,2.0,Semi-Furnished,Other,4500000
22,430.556,1,1.0,Furnished,Other,5300000
23,900.0,2,2.0,Semi-Furnished,Other,10500000
24,914.9315,2,2.0,Semi-Furnished,Other,12000000
25,1100.0,3,3.0,Furnished,Other,7000000
26,800.0,3,2.0,Semi-Furnished,Other,7000000
27,500.0,1,1.0,Semi-Furnished,Other,3400000
29,2160.0,4,4.0,Furnished,Other,21000000
47,900.0,2,2.0,Semi-Furnished,Other,13000000
48,1000.0,3,3.0,Semi-Furnished,Other,22000000
49,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000
50,2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,57500000
51,900.0,2,2.0,Unfurnished,Other,10000000
52,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000
53,1143.0,3,3.0,Unfurnished,Other,22000000
54,1150.0,3,3.0,Semi-Furnished,Other,24000000
55,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,31500000
56,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000
57,8000.0,4,5.0,Semi-Furnished,Other,240000000
58,890.0,2,2.0,Semi-Furnished,Other,8300000
59,1100.0,3,3.0,Unfurnished,Other,22500000
61,850.0,2,1.0,Semi-Furnished,Other,1900000
62,1350.0,3,2.0,Unfurnished,Other,5130000
63,1387.0,4,4.0,Unfurnished,Other,5890000
64,1050.0,3,2.0,Unfurnished,Other,3700000
65,1500.0,3,2.0,Unfurnished,Other,17400000
66,1200.0,3,3.0,Semi-Furnished,Other,15500000
67,700.0,2,1.0,Semi-Furnished,Other,2400000
68,1700.0,3,2.0,Semi-Furnished,Other,17200000
69,1550.0,3,2.0,Furnished,Other,14200000
70,1400.0,3,3.0,Semi-Furnished,Other,13500000
71,1900.0,4,4.0,Semi-Furnished,Other,30000000
72,2160.0,4,3.0,Unfurnished,Other,21000000
73,1700.0,4,3.0,Unfurnished,Other,20500000
74,1850.0,3,4.0,Semi-Furnished,Other,24000000
75,1800.0,4,2.0,Semi-Furnished,Other,16500000
76,1620.0,3,2.0,Semi-Furnished,Other,14900000
77,1800.0,4,3.0,Furnished,Other,19200000
78,1540.0,3,3.0,Semi-Furnished,Other,14500000
79,1600.0,3,3.0,Semi-Furnished,Other,15600000
80,1400.0,3,2.0,Unfurnished,Other,11400000
81,2300.0,4,4.0,Furnished,Other,31500000
82,1560.0,3,2.0,Furnished,Other,15800000
83,1500.0,3,3.0,Semi-Furnished,Other,16000000
84,1540.0,3,3.0,Semi-Furnished,Other,14500000
85,1050.0,2,2.0,Unfurnished,Other,10500000
86,1800.0,3,2.0,Semi-Furnished,Other,14800000
87,400.0,1,1.0,Semi-Furnished,Other,1850000
88,1150.0,3,2.0,Semi-Furnished,Other,6800000
89,1525.0,3,3.0,Semi-Furnished,Other,14200000
102,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,40000000
103,2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,46000000
104,2700.0,4,4.0,Semi-Furnished,Lajpat Nagar 3,55000000
105,1400.0,3,3.0,Unfurnished,Lajpat Nagar 3,24500000
106,1800.0,3,3.0,Unfurnished,Lajpat Nagar 3,24500000
107,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,32500000
108,1000.0,2,2.0,Furnished,Lajpat Nagar 3,20000000
109,8000.0,4,5.0,Semi-Furnished,Other,240000000
110,1000.0,2,2.0,Furnished,Lajpat Nagar 3,20000000
111,1700.0,3,3.0,Furnished,Lajpat Nagar 3,19000000
112,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,26000000
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,21000000
114,1700.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,27500000
115,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,32500000
116,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,45000000
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000
118,1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,28000000
119,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,29500000
123,1350.0,2,2.0,Furnished,Lajpat Nagar 2,12500000
124,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
125,750.0,2,2.0,Semi-Furnished,Other,11500000
126,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000
127,1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25500000
128,1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,31000000
129,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,22000000
130,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,13400000
131,1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,35000000
132,900.0,2,2.0,Furnished,Lajpat Nagar 2,11000000
133,900.0,2,2.0,Unfurnished,Other,6300000
134,900.0,2,2.0,Furnished,Lajpat Nagar 2,12500000
135,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14500000
136,1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,22500000
137,810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15500000
138,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
139,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000
140,825.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000
141,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,13000000
142,875.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000
143,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25000000
144,750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,16500000
145,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,10300000
146,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
147,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,11000000
148,1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,28500000
149,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,11000000
152,450.0,2,1.0,Unfurnished,Other,3600000
154,900.0,3,2.0,Semi-Furnished,Budh Vihar,4000000
155,500.0,2,2.0,Semi-Furnished,Budh Vihar Phase 1,1650000
156,450.0,1,1.0,Furnished,Budh Vihar,2000000
158,270.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1400000
159,500.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,2000000
160,444.0,2,2.0,Unfurnished,Budh Vihar Phase 1,2000000
161,400.0,1,1.0,Furnished,Budh Vihar,2000000
162,729.0,3,4.0,Furnished,Budh Vihar,2600000
163,4050.0,6,3.0,Furnished,Budh Vihar Phase 1,5100000
164,2400.0,6,4.0,Furnished,Other,6000000
165,450.0,2,2.0,Furnished,Budh Vihar,4000000
166,405.0,2,3.0,Furnished,Other,6200000
167,666.0,1,2.0,Furnished,Budh Vihar Phase 1,3500000
168,1000.0,2,2.0,Semi-Furnished,Other,7600000
169,1360.0,4,3.0,Semi-Furnished,Rohini Sector 24,13500000
170,1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,12500000
171,850.0,3,2.0,Semi-Furnished,Rohini Sector 23,6500000
172,2170.0,4,4.0,Unfurnished,Rohini Sector 23,22000000
173,720.0,3,2.0,Semi-Furnished,Rohini Sector 23,6000000
174,850.0,3,2.0,Semi-Furnished,Rohini Sector 23,7300000
175,950.0,3,2.0,Semi-Furnished,Rohini Sector 23,7600000
176,2300.0,4,4.0,Semi-Furnished,Rohini Sector 23,20000000
177,1300.0,4,4.0,Semi-Furnished,Other,15000000
178,1100.0,3,2.0,Semi-Furnished,Other,6200000
179,1030.0,3,2.0,Furnished,Other,6200000
181,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
182,720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4700000
183,800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000
184,350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2000000
185,980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7300000
186,1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13000000
187,1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",11500000
188,445.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2800000
189,380.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2200000
190,680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4400000
